,50,100,500,1000,10000,20000,100000
AbChain_7_charge,"[0.54647403 0.59184204 0.45614202 0.46094917 0.65267685 0.45215094 0.54688134 0.49297416 0.51666707 0.53130621 0.46572592 0.44782267 0.42200328 0.51067036 0.43267109 0.5210734  0.5665475  0.51222869 0.44554021 0.55310628]","[0.75133191 0.68247788 0.71235766 0.71452605 0.68202832 0.69673591 0.67882764 0.70997067 0.68937328 0.73194696 0.7168499  0.68146487 0.60854172 0.71507716 0.72415995 0.71298427 0.71707433 0.68487845 0.68788362 0.68853258]","[0.89872304 0.90975271 0.90776871 0.90985581 0.91217218 0.89912533 0.90403996 0.90905978 0.903667   0.91408303 0.90966133 0.90547459 0.90633561 0.91051656 0.90882921 0.903193   0.912712   0.90274882 0.90283627 0.91715645]","[0.94443195 0.94290186 0.94548785 0.94437298 0.94381579 0.94503545 0.94574085 0.94153301 0.94495478 0.94261232 0.94170331 0.94520593 0.94279125 0.94297328 0.94441142 0.94608125 0.94258198 0.94147443 0.93998689 0.94370452]","[0.98007711 0.97993686 0.98011635 0.97990958 0.98008986 0.9802031 0.98030969 0.98007089 0.98036411 0.9801612  0.98004854 0.98020201 0.98036536 0.9798262  0.97998523 0.98005186 0.98014872 0.98038023 0.98010764 0.98022761]","[0.98352929 0.98348555 0.98359222 0.98347005 0.9834898  0.9835901 0.9835997  0.98336975 0.98353477 0.98352683 0.9834268  0.98334514 0.9834246  0.98349072 0.98342516 0.98341387 0.98358888 0.98340825 0.98348036 0.9833477 ]","[0.98723622 0.98722566 0.98722105 0.98723995 0.98723267 0.987241 0.98722528 0.9872428  0.98722885 0.98724371 0.98720291 0.98724098 0.98722483 0.98724294 0.98723447 0.98722298 0.98719389 0.98720902 0.98721799 0.98724024]"
AbChain_8_charge,"[0.53483541 0.57707411 0.44220798 0.44288789 0.64619629 0.45660781 0.54198467 0.47969292 0.50073765 0.54492411 0.45364906 0.45023494 0.39768374 0.50369387 0.43322733 0.51510484 0.57264631 0.51262509 0.4472239  0.54218263]","[0.74331438 0.68266879 0.70602252 0.7189119  0.67747259 0.6921285 0.6829896  0.70058436 0.67846859 0.73316412 0.71641376 0.67923579 0.608212   0.70357298 0.72057143 0.71018919 0.71426043 0.67484119 0.67751558 0.69188919]","[0.89602473 0.90784065 0.90499735 0.90860877 0.90964122 0.89704517 0.90122098 0.9079076  0.90111313 0.91226171 0.90747552 0.90207663 0.90488519 0.9078767  0.90659411 0.90049107 0.91038005 0.90010582 0.89952126 0.91507209]","[0.94267138 0.94124341 0.94414352 0.94308176 0.94249177 0.9437648 0.94431508 0.94070708 0.94359335 0.94096776 0.94037239 0.94383202 0.94098255 0.94129117 0.94344415 0.94465467 0.94102141 0.94068535 0.93878253 0.942524  ]","[0.97958209 0.97949579 0.97963599 0.97939087 0.97959287 0.97971432 0.97980785 0.97956242 0.97989156 0.97964561 0.97952887 0.97974236 0.9798469  0.97934722 0.97949687 0.97954023 0.97966834 0.9798489 0.97962517 0.97971319]","[0.98309143 0.98304205 0.98315969 0.98305    0.98302899 0.98314838 0.98316913 0.98295173 0.98311424 0.98309812 0.98299136 0.98291056 0.982993   0.98305395 0.98301153 0.9829767  0.98314827 0.98300106 0.98303892 0.98291126]","[0.98687436 0.98686155 0.98686044 0.98687748 0.98686644 0.98687788 0.9868628  0.98688044 0.9868603  0.98687849 0.98683652 0.98687367 0.98685764 0.98688561 0.98686813 0.98686162 0.98683309 0.98684544 0.98685165 0.98687746]"
AbChain_9_charge,"[0.49179814 0.55598761 0.43715583 0.42889735 0.63901493 0.46655068 0.52350112 0.46215309 0.49012344 0.56586481 0.44012481 0.46213368 0.37123631 0.50844138 0.43241084 0.50055686 0.57348711 0.50363276 0.44999463 0.5292253 ]","[0.73014595 0.68824018 0.6961676  0.72469944 0.67621345 0.68691247 0.68757583 0.68625833 0.66197017 0.73058542 0.70871053 0.67833399 0.60623775 0.69071304 0.71254213 0.70591366 0.71067886 0.66072451 0.6654946  0.69954673]","[0.89381605 0.90428519 0.90215222 0.90769637 0.90633209 0.89619324 0.89766878 0.90672149 0.89867038 0.90877435 0.90605585 0.89613449 0.90392739 0.90523395 0.90426636 0.89818368 0.90720836 0.89707253 0.89615899 0.91321888]","[0.94046202 0.93990807 0.94208309 0.94172037 0.94052953 0.94266263 0.94258528 0.93982947 0.94170961 0.9392775  0.93932197 0.94246526 0.939067   0.93875837 0.94187926 0.94245767 0.93902781 0.93989065 0.93750105 0.94084814]","[0.9787837  0.97871884 0.97883349 0.9785466  0.97880414 0.97889683 0.97900341 0.97877697 0.97913059 0.97881417 0.97875199 0.9790124 0.97898511 0.97857537 0.97874439 0.9787328  0.97891695 0.97906175 0.97886036 0.97892614]","[0.98236964 0.98233375 0.98243061 0.98234559 0.98229108 0.98242851 0.98245729 0.98225159 0.98241338 0.98240021 0.98228338 0.98221388 0.98228563 0.98235698 0.98231365 0.98225131 0.98242282 0.98232213 0.9823346  0.98219252]","[0.98626879 0.9862588  0.98625962 0.98627336 0.98625226 0.98627199 0.98626069 0.98627892 0.98624867 0.98626886 0.98623338 0.98626285 0.98624983 0.98628623 0.98625855 0.9862565  0.98623488 0.98624485 0.98624692 0.98627147]"
AbChain_10_charge,"[0.46533229 0.53576773 0.5175735  0.47682093 0.66557318 0.49224287 0.51247924 0.47470895 0.52771585 0.60150158 0.43069312 0.51312995 0.39765554 0.57461885 0.46423206 0.4744641  0.56334211 0.51003129 0.47710981 0.5614999 ]","[0.7315631  0.72131823 0.70698747 0.73295587 0.70178757 0.70265429 0.69545154 0.70659637 0.67186615 0.73708919 0.68173536 0.69459957 0.63260748 0.70587984 0.73762279 0.71003192 0.73693834 0.68841624 0.69107819 0.73324335]","[0.90008843 0.90689615 0.90512913 0.90977729 0.90556217 0.90088355 0.89634061 0.91052063 0.89909309 0.90742002 0.90978687 0.89361848 0.9040703  0.90311985 0.90701015 0.9021588  0.91073684 0.89626975 0.89820376 0.916549  ]","[0.94018143 0.93987532 0.9421048  0.94178829 0.93996177 0.94170429 0.94220737 0.93948186 0.9402867  0.93873656 0.94022803 0.94228593 0.93876549 0.93762607 0.94116827 0.94136505 0.9384304  0.94094202 0.93694603 0.93933754]","[0.97821816 0.97808691 0.97823357 0.97799302 0.97828716 0.97832876 0.97847126 0.97831016 0.97859074 0.97829234 0.97820328 0.97856026 0.9783936  0.97797201 0.97817731 0.97819374 0.978497   0.97864924 0.97831714 0.97843273]","[0.98198455 0.98195547 0.98194926 0.98193986 0.98196722 0.98195024 0.98202057 0.98183496 0.98202344 0.9819963  0.98190484 0.98190968 0.98190148 0.98195176 0.98191753 0.98187714 0.9819862  0.98198257 0.98200923 0.98182174]","[0.98600291 0.98601734 0.98599608 0.98601226 0.98598992 0.98600723 0.98599766 0.98602833 0.98599374 0.98599468 0.98597601 0.98600932 0.98599958 0.98602164 0.98600595 0.98599984 0.98600352 0.98600458 0.98599579 0.98601001]"
AbChain_11_charge,"[0.52248067 0.52986956 0.62218236 0.54302605 0.66101117 0.56987443 0.51600584 0.51940887 0.56771948 0.61770386 0.45001293 0.59051782 0.44985704 0.60114026 0.53369725 0.50429581 0.57423868 0.53962083 0.52914584 0.56412907]","[0.73736002 0.7582218  0.73635566 0.74175346 0.73386481 0.72098089 0.72226561 0.74062136 0.70407866 0.74703798 0.65853237 0.72474035 0.69309674 0.72911847 0.76025121 0.72585661 0.76949727 0.71817 0.73123105 0.75557043]","[0.90830778 0.91077522 0.90900167 0.91081116 0.9059695  0.90566589 0.90013344 0.91338982 0.90084777 0.90742583 0.91278452 0.89658501 0.9064577  0.9025888  0.91049069 0.90564191 0.91314109 0.90020099 0.90290539 0.91817748]","[0.93981454 0.94059264 0.9439659  0.94148166 0.93865304 0.93996382 0.94161254 0.94062665 0.94025835 0.93958775 0.9410203  0.94263202 0.9408001  0.93744142 0.94123554 0.94064107 0.93864068 0.94145619 0.93654789 0.9378844 ]","[0.9781135  0.97799627 0.97810567 0.97799378 0.97826998 0.97816124 0.97835612 0.97823638 0.97843121 0.97821039 0.97799908 0.97835885 0.97831152 0.97794065 0.97799534 0.97818393 0.97841522 0.97858466 0.97817002 0.97831676]","[0.98194147 0.98194049 0.98190313 0.98193323 0.98199955 0.98185692 0.9819265  0.98181389 0.98202665 0.98196941 0.98193856 0.98198074 0.98187215 0.9819147  0.98191438 0.98192883 0.98189592 0.98206183 0.98203394 0.98186761]","[0.98602566 0.98606621 0.98602964 0.98603632 0.98602293 0.98603992 0.98601888 0.98605817 0.98604037 0.98600961 0.98600548 0.98605108 0.9860442  0.98604515 0.98604918 0.98603108 0.98604607 0.98605346 0.98603171 0.98604409]"
AbChain_12_charge,"[0.53499479 0.52746649 0.64415541 0.53947412 0.66033883 0.58255939 0.51462917 0.52564039 0.58087233 0.62720561 0.45721    0.61104067 0.45364753 0.59613043 0.53881395 0.52462231 0.58718452 0.53833552 0.53962437 0.55985685]","[0.73566093 0.7586603  0.73754563 0.74380904 0.7330094  0.7206355 0.72606619 0.73949179 0.71687154 0.74653534 0.65176553 0.72870944 0.70462372 0.73137355 0.75972945 0.73603697 0.78083449 0.72737987 0.74297149 0.75287234]","[0.9093003  0.91042007 0.90812361 0.90866438 0.90519866 0.90445461 0.90092337 0.91278606 0.90056916 0.90487036 0.91171579 0.89644268 0.90479706 0.90083848 0.91033668 0.90416568 0.91118913 0.89969801 0.90283808 0.91710986]","[0.93900011 0.9402457  0.9434369  0.94057389 0.93699398 0.93865441 0.94033748 0.94041022 0.93993983 0.93890967 0.94042916 0.9416144 0.94043502 0.93635617 0.93994832 0.93919988 0.93760745 0.94054557 0.93569968 0.936407  ]","[0.97808214 0.97792343 0.97800565 0.97793067 0.97819669 0.97805403 0.9782477  0.97816853 0.97835422 0.97816194 0.97793171 0.97822976 0.97825373 0.97790207 0.97788294 0.97814951 0.97831447 0.97852842 0.97812737 0.97822798]","[0.98189925 0.98192374 0.98189308 0.98191519 0.98197972 0.98185077 0.98189628 0.98177227 0.98198338 0.98195592 0.98193864 0.98196639 0.98185877 0.9818904  0.98188273 0.98192688 0.98185994 0.98206599 0.98201507 0.98185101]","[0.98601689 0.98606233 0.98601854 0.98602477 0.98601637 0.98603261 0.98601077 0.98605038 0.98603431 0.98599816 0.98600036 0.9860459 0.98604218 0.98603849 0.98604487 0.98602286 0.9860372  0.98605213 0.98602594 0.98604043]"
AbChain_13_charge,"[0.52923029 0.53294825 0.6514448  0.49789569 0.66683058 0.56554165 0.52113628 0.53098904 0.604017   0.65128568 0.48069323 0.63244086 0.45837905 0.59768329 0.52756679 0.56035432 0.61795109 0.52083548 0.55625559 0.57868056]","[0.73873321 0.75027837 0.72490616 0.74505784 0.72556547 0.72196271 0.71560773 0.72821273 0.73936931 0.7441641  0.65665769 0.73128678 0.70945494 0.73527403 0.76156253 0.75743066 0.80377431 0.74470622 0.75489795 0.74910039]","[0.91182246 0.91231239 0.90791905 0.90693555 0.906703   0.9034531 0.90319141 0.91473061 0.90377254 0.90157161 0.91182571 0.89702363 0.90290397 0.90003743 0.91269212 0.90470628 0.90974496 0.89998271 0.9042701  0.91649341]","[0.94043839 0.9413565  0.94233094 0.94127315 0.93678692 0.93944879 0.93985343 0.94120588 0.94139037 0.93912058 0.94186754 0.94084601 0.94017096 0.93645665 0.93938441 0.93858963 0.93790978 0.94105459 0.93723718 0.93646675]","[0.97878438 0.97851693 0.97850228 0.97848156 0.97868449 0.97865362 0.97867242 0.97880242 0.97897165 0.97880728 0.97862125 0.97878881 0.97882921 0.97851457 0.97847284 0.97879529 0.97879911 0.9791696 0.9788351  0.97883988]","[0.98247713 0.98251214 0.98246927 0.9824803  0.98254616 0.98249797 0.98248166 0.98231361 0.98248666 0.98252606 0.98250418 0.98252227 0.98248108 0.98247183 0.98242127 0.98250203 0.98245265 0.98261953 0.98258281 0.98238673]","[0.98647733 0.98651853 0.98646501 0.98647332 0.98647529 0.98648768 0.9864716  0.98650582 0.98648561 0.98645602 0.98647364 0.98650194 0.98650963 0.98649911 0.98650542 0.98648538 0.98649947 0.98651411 0.98648807 0.98650165]"
AbChain_14_charge,"[0.52620414 0.53531117 0.64758759 0.48438013 0.66150776 0.55746469 0.52804195 0.53439017 0.60958647 0.656187   0.4934589  0.64105167 0.46348693 0.59810331 0.52519919 0.57546694 0.62871711 0.51478679 0.5645724  0.5858209 ]","[0.73925363 0.74490025 0.71919889 0.74269153 0.72276508 0.72206236 0.7090935  0.72278167 0.74671849 0.73945074 0.66045782 0.73179695 0.71171515 0.73489308 0.76062253 0.76164641 0.80917144 0.74783867 0.75618117 0.74567641]","[0.9120728  0.91282782 0.90765596 0.90599333 0.9068626  0.90321134 0.90355145 0.91531919 0.90463918 0.9002328  0.91174479 0.89689593 0.90275672 0.89950645 0.9135033  0.90464087 0.90887848 0.90060788 0.90464191 0.915159  ]","[0.94101599 0.94166516 0.94156594 0.94144856 0.93679605 0.93983173 0.93943515 0.94123643 0.94179281 0.93924078 0.94230854 0.94038319 0.93994497 0.93657647 0.93920176 0.93839397 0.93814237 0.94120547 0.9379076  0.93673127]","[0.97894773 0.97867719 0.97860698 0.97861891 0.97877844 0.97880689 0.97871924 0.97895152 0.97911012 0.97895976 0.97878462 0.978914 0.97894975 0.97867611 0.97863489 0.97895225 0.97887772 0.97931776 0.97901053 0.9789791 ]","[0.9826196  0.98264809 0.98260094 0.98261474 0.98266903 0.98265706 0.98261578 0.9824473  0.98260125 0.98265269 0.98262443 0.98264645 0.98263723 0.98260705 0.98254338 0.98263238 0.98259843 0.98274032 0.98270974 0.98250038]","[0.98657031 0.98660906 0.98655399 0.98656236 0.98656819 0.98657906 0.98656423 0.98659634 0.98657592 0.9865485  0.98657288 0.98659175 0.98660474 0.98659099 0.98659854 0.98658    0.98659293 0.98660646 0.98658119 0.98659364]"
AbChain_pI,"[0.49255274 0.48392125 0.42550544 0.40039217 0.54286179 0.39042385 0.46871969 0.47741261 0.4551096  0.52333885 0.43081326 0.37822372 0.359782   0.55676629 0.4271102  0.52836565 0.5032079  0.51654193 0.39859467 0.51515163]","[0.68333681 0.60476097 0.59824679 0.63318566 0.62613861 0.63824172 0.62764876 0.61668893 0.6265358  0.63801603 0.60578186 0.58550455 0.53820946 0.64646624 0.63455356 0.62018301 0.66073728 0.59947494 0.5675276  0.63128157]","[0.79694533 0.80891228 0.80836133 0.81412435 0.82443957 0.79908675 0.80923737 0.80955418 0.80653696 0.80377692 0.81386162 0.81090361 0.81772641 0.81239477 0.81480156 0.81409788 0.81279303 0.79769392 0.81017397 0.80381008]","[0.84364882 0.84135941 0.84532638 0.84109983 0.84258183 0.84956435 0.84896885 0.84717563 0.84291112 0.84523824 0.84310198 0.84477469 0.84001025 0.84473885 0.84251102 0.84547779 0.83838818 0.84306404 0.84338875 0.84551345]","[0.89189127 0.8922351  0.89198073 0.89171259 0.89131336 0.89225578 0.8923624  0.89173525 0.89127167 0.89167738 0.89216069 0.89223007 0.89150763 0.89149434 0.89190933 0.89108326 0.89219031 0.89211929 0.89185537 0.8918112 ]","[0.89846809 0.89851454 0.89813185 0.89775241 0.89812838 0.89835368 0.89812392 0.89834862 0.89821699 0.89787817 0.89817527 0.89810018 0.89813525 0.89822618 0.89844433 0.89885671 0.89857578 0.89781936 0.89820981 0.89809604]","[0.90670388 0.90672842 0.9067581  0.90660115 0.90658969 0.90664895 0.9065461  0.90669525 0.90668539 0.90664056 0.90687099 0.90676507 0.90665842 0.90662829 0.9067321  0.90638553 0.90668457 0.90663119 0.90653823 0.90660895]"
AbChain_molextcoef,"[0.54315004 0.60836862 0.57508328 0.56290468 0.52695853 0.63473861 0.46178986 0.60279312 0.45248685 0.56818349 0.50922453 0.44473721 0.53353724 0.55149004 0.55816722 0.55847308 0.52897081 0.43153036 0.45446539 0.4654957 ]","[0.6670987  0.65267074 0.69361365 0.69850045 0.73710818 0.64660655 0.72797252 0.66886875 0.70092169 0.71115124 0.65000289 0.67607506 0.67822174 0.73325322 0.66868461 0.66017957 0.63896186 0.69996824 0.65602466 0.71161712]","[0.89870627 0.89901368 0.89054223 0.90241139 0.8960135  0.90003586 0.89601732 0.90405652 0.896067   0.9001129  0.89244001 0.8983102 0.89727147 0.89832975 0.9046064  0.8994365  0.90182553 0.89553859 0.89623481 0.8952104 ]","[0.93136507 0.93508203 0.93028759 0.93352311 0.93444985 0.9343316 0.93342825 0.93591224 0.93363905 0.93327239 0.93207445 0.93393812 0.93426343 0.93058033 0.93583955 0.93190913 0.93620863 0.93496345 0.93676054 0.93477063]","[0.97622179 0.97598024 0.97613188 0.97592957 0.97577602 0.97590634 0.97617439 0.97592316 0.97629097 0.97594323 0.97585114 0.97622884 0.97610034 0.97563651 0.97582049 0.97612461 0.97609085 0.97589543 0.97586792 0.9758297 ]","[0.97985116 0.97982116 0.97983787 0.97983418 0.97990821 0.97990972 0.97990685 0.97972015 0.97987667 0.97989714 0.97981669 0.98000282 0.97977298 0.97996967 0.97984003 0.97993939 0.97992653 0.97992147 0.97977529 0.97978188]","[0.98411937 0.98409694 0.98405448 0.98404475 0.98408585 0.98406944 0.98406288 0.98406982 0.98403654 0.98408665 0.98405458 0.98409175 0.98410479 0.9840839  0.9840435  0.98406176 0.98405953 0.98405969 0.98406907 0.9841245 ]"
AbChain_cysbridges_molextcoef,"[0.         0.33897166 0.26007518 0.34993329 0.24506462 0.407838 0.38669166 0.45671781 0.38390726 0.30531827 0.27148962 0.3908005 0.22568331 0.27637021 0.27625783 0.30974746 0.34888087 0.15026272 0.26921586 0.06169515]","[0.44707926 0.52028317 0.42690528 0.53258865 0.51436555 0.45589739 0.38359163 0.39156944 0.43786938 0.49767521 0.39217222 0.47071922 0.48841149 0.45960755 0.46015079 0.4740744  0.52909657 0.46634569 0.49678599 0.49525644]","[0.70623956 0.71222325 0.71972011 0.6968383  0.71611387 0.73353036 0.70351761 0.72467832 0.71479673 0.71342659 0.7013182  0.71255002 0.71082588 0.70074946 0.72370076 0.70478768 0.70737717 0.72065106 0.6971459  0.70607264]","[0.74809511 0.76196117 0.75613127 0.77050937 0.75173251 0.77058788 0.75217013 0.7668505  0.76590302 0.76627123 0.75601996 0.76473198 0.76496812 0.76437006 0.76549202 0.75530584 0.75468569 0.76361348 0.76544552 0.76533582]","[0.83825569 0.83558873 0.83554067 0.83495924 0.83731209 0.83582061 0.83771557 0.83863959 0.83758236 0.83555534 0.83595391 0.83602983 0.83793411 0.83667364 0.83523784 0.83722886 0.83740852 0.83851402 0.83850085 0.83967309]","[0.84752361 0.84884097 0.84719089 0.84812219 0.84716884 0.84826638 0.84822085 0.84896553 0.84880737 0.84851888 0.84853035 0.84820319 0.8482231  0.84857545 0.8480338  0.84725383 0.84750635 0.84822697 0.84864866 0.84836426]","[0.86204277 0.86156047 0.86173628 0.86172302 0.86188252 0.86164448 0.86200569 0.8617268  0.86180964 0.86163507 0.86195827 0.86151408 0.86194585 0.86194289 0.8618957  0.86181636 0.86152533 0.86197001 0.8616853  0.86168579]"
AbChain_percentextcoef,"[0.52711677 0.65212206 0.55427381 0.5905613  0.49351782 0.61403516 0.49473121 0.62423191 0.47318832 0.56553302 0.5438224  0.4118821 0.51611617 0.54331051 0.56368994 0.56190598 0.50516212 0.466964 0.44623615 0.44027419]","[0.66400585 0.62692804 0.70393815 0.69541561 0.72228474 0.64040945 0.71446187 0.66567263 0.70173477 0.68456676 0.66425058 0.66098301 0.68616523 0.72340216 0.65351848 0.65536956 0.65626718 0.69600861 0.66022991 0.69750058]","[0.89229893 0.89715261 0.8819314  0.89969586 0.89158586 0.89669192 0.89182178 0.90076617 0.89009524 0.89563469 0.88830401 0.89234137 0.89211092 0.8936811  0.89581981 0.89353822 0.89836587 0.88998429 0.89005417 0.89041999]","[0.92692112 0.93108429 0.92755022 0.93003377 0.93176396 0.93083696 0.93085963 0.93345489 0.93042427 0.93071987 0.92825626 0.93044824 0.93098952 0.9281809  0.93303121 0.92913941 0.93376303 0.93232387 0.93428695 0.93178691]","[0.97533232 0.97515223 0.97537273 0.97511303 0.97499477 0.97497643 0.97531809 0.97503463 0.97542428 0.97514754 0.97504719 0.97547126 0.97517879 0.97486341 0.97496228 0.97538427 0.97534311 0.97527575 0.97501849 0.97494882]","[0.97920461 0.97913502 0.97916673 0.97914987 0.97929802 0.97926535 0.97921743 0.97910855 0.97923482 0.9792672  0.97905245 0.97928481 0.97916054 0.97931657 0.97918685 0.97931293 0.97928498 0.97924749 0.97912941 0.97912353]","[0.98360485 0.9835881  0.98353432 0.98353573 0.98357287 0.9835472 0.98355856 0.98355706 0.98351515 0.98358899 0.98354742 0.98357058 0.98358779 0.98355585 0.98353752 0.98355847 0.98353205 0.98354547 0.98356789 0.9836019 ]"
AbChain_cysbridges_percenextcoef,"[0.         0.34398892 0.25076305 0.33352503 0.21352276 0.41751125 0.37694986 0.43030662 0.36426968 0.28871604 0.2293835  0.37284678 0.20698461 0.2249952  0.27399016 0.29793286 0.3184641  0.14668404 0.27059206 0.04964051]","[0.44751719 0.5071367  0.39685251 0.50375062 0.49969167 0.44676401 0.37388414 0.38065156 0.41361511 0.48530733 0.38738488 0.4603189 0.45216834 0.44340003 0.4558015  0.45858131 0.49392303 0.44804772 0.48009121 0.48779313]","[0.69677909 0.70389263 0.71154165 0.68844066 0.70557376 0.72532678 0.69578175 0.71591022 0.70536862 0.70700082 0.69065725 0.70459946 0.70217215 0.69284251 0.71300368 0.69569295 0.69762092 0.71154978 0.68580063 0.69639812]","[0.73861094 0.75195532 0.74762914 0.76171256 0.74128117 0.76113893 0.74187554 0.76045859 0.7573326  0.7592222  0.74681416 0.75607464 0.75628565 0.7535603  0.75727695 0.74767951 0.74658371 0.75429314 0.75755146 0.75735704]","[0.83229691 0.82947853 0.82924428 0.82883723 0.83146455 0.82956222 0.83176093 0.83285179 0.83141351 0.82971035 0.83002254 0.83008893 0.83188128 0.8305732  0.8292433  0.83131271 0.83146208 0.83253567 0.83241408 0.8337977 ]","[0.84184159 0.8430513  0.84164958 0.84235798 0.84142599 0.84259715 0.84239542 0.84332203 0.84316232 0.84264784 0.84283335 0.8422368 0.84266505 0.84293625 0.84235465 0.84162655 0.84180754 0.8426613 0.8426874  0.84265533]","[0.85692672 0.85646578 0.85662859 0.85658705 0.85674818 0.85652462 0.85689226 0.8566322  0.85670178 0.85649093 0.85682076 0.85635795 0.85683533 0.85682857 0.85676548 0.85669902 0.85643951 0.85684501 0.85657681 0.85657314]"
AbChain_hydrophobicity,"[0.49104003 0.51970903 0.34131883 0.5503546  0.41971784 0.42756535 0.55334522 0.40359377 0.48199526 0.54011629 0.46898602 0.54417136 0.55283755 0.59557976 0.57861117 0.4966795  0.5541294  0.49477488 0.52436775 0.52860935]","[0.67464539 0.71106395 0.6247685  0.68925768 0.69321702 0.70015829 0.6782012  0.7143666  0.69591503 0.67334183 0.6573896  0.73118975 0.65770872 0.64496175 0.68076519 0.70295224 0.71521257 0.64701885 0.63087703 0.6945789 ]","[0.90661642 0.92077941 0.9132038  0.90866951 0.91403258 0.91586542 0.91159803 0.91305528 0.90930051 0.91451497 0.92052641 0.91269797 0.9203517  0.91314044 0.91322302 0.91244223 0.90836368 0.9174779 0.91278693 0.9119162 ]","[0.94666306 0.94560031 0.94431697 0.94363375 0.94923572 0.94880468 0.94474538 0.94561772 0.94653153 0.94592279 0.94642169 0.94345231 0.94749362 0.9439008  0.94416839 0.94449521 0.94712984 0.94553251 0.94486771 0.94681147]","[0.97959379 0.98003195 0.97995316 0.97971557 0.97989547 0.97986889 0.97955513 0.97983083 0.97960279 0.97972358 0.97970627 0.98002647 0.97995447 0.98002205 0.97987878 0.97965215 0.97944817 0.97976443 0.97992513 0.97968807]","[0.98314531 0.98320407 0.98312501 0.98326459 0.98297092 0.98319667 0.9831442  0.98320982 0.98331222 0.98312471 0.98315918 0.98319377 0.98322674 0.98321661 0.98297798 0.98309771 0.98324899 0.98320036 0.98324578 0.98301202]","[0.98680726 0.98679876 0.98681531 0.98680553 0.98680603 0.98683024 0.98681965 0.9868328  0.98680766 0.98677623 0.9868279  0.98678554 0.98680781 0.9867988  0.98684761 0.98681792 0.98681322 0.98680317 0.98680099 0.98682419]"
AbChain_hmom,"[0.42396144 0.29737308 0.47271699 0.54436702 0.47145121 0.52458662 0.49163212 0.3929116  0.40508022 0.48655707 0.43351461 0.47729432 0.45789671 0.47168137 0.46555    0.50639822 0.49924115 0.52099133 0.41083879 0.49826746]","[0.48435422 0.54415884 0.53917788 0.49363326 0.581654   0.54866744 0.52376968 0.54918444 0.47106783 0.53776526 0.44880762 0.52743464 0.55650415 0.49931911 0.51577836 0.517148   0.54650827 0.45101532 0.45476694 0.51764997]","[0.62578485 0.62912545 0.62702888 0.64142781 0.63891055 0.6403848 0.62283997 0.63861654 0.63169014 0.63992236 0.64282902 0.63386415 0.64874091 0.63262436 0.622783   0.64821254 0.65337594 0.63789535 0.64956307 0.64293666]","[0.68931424 0.67848235 0.68915156 0.6799849  0.68311886 0.67911118 0.68767338 0.67882162 0.68516325 0.67790871 0.6959725  0.68481895 0.69244066 0.68047261 0.68137139 0.69075848 0.68732481 0.67966627 0.68212914 0.69122599]","[0.78359469 0.78294237 0.78083543 0.78443299 0.7825271  0.78394518 0.78302185 0.78145609 0.7829792  0.7825822  0.78079564 0.78341262 0.78169043 0.78629529 0.78386264 0.78141444 0.78236775 0.78369787 0.7825599  0.78403567]","[0.80051003 0.79898056 0.79960662 0.80106455 0.7983279  0.7998094 0.79955589 0.79839824 0.79861715 0.79929274 0.79898378 0.79899884 0.79956535 0.79956183 0.79848618 0.80044138 0.80034864 0.79948955 0.79974428 0.79938992]","[0.81971594 0.81958339 0.81981467 0.81954696 0.81966312 0.81976389 0.81961771 0.81953391 0.81978629 0.81964108 0.81955992 0.81973807 0.81968604 0.81960117 0.82011127 0.81968128 0.82006647 0.82002969 0.81970209 0.81946491]"
AbChain_solubility,"[0.24472941 0.21110052 0.24286621 0.24130883 0.1261169  0.15868792 0.15975504 0.17908962 0.1366085  0.22129286 0.17217866 0.1152555 0.19810342 0.20908176 0.10549824 0.20127326 0.13291237 0.07077389 0.25675256 0.1790353 ]","[0.24346665 0.26209117 0.19954683 0.20857458 0.2666084  0.25983466 0.21885679 0.2055391  0.27605255 0.27203295 0.29572637 0.23165746 0.27115099 0.24934723 0.27684122 0.2699226  0.25484003 0.22317101 0.22385316 0.27138563]","[0.43553563 0.42508865 0.42238438 0.42071635 0.42016083 0.44393598 0.42572763 0.43810405 0.3976564  0.42366367 0.44048401 0.41087189 0.43331709 0.41936142 0.42790036 0.40099242 0.41545216 0.42929902 0.42634123 0.42518535]","[0.5064044  0.50419582 0.47375538 0.48143016 0.48651032 0.49131461 0.49340108 0.50386196 0.49262097 0.48666966 0.48599555 0.49734783 0.48011804 0.48772469 0.49580773 0.49516866 0.49294403 0.49373438 0.4873593  0.4807291 ]","[0.63647843 0.63755177 0.63981736 0.63781003 0.63924636 0.63926275 0.64045708 0.64012337 0.63940483 0.63609456 0.63794516 0.63565003 0.63924803 0.63463747 0.63741624 0.63977483 0.63879662 0.6369464 0.63861945 0.63991667]","[0.66174731 0.66099775 0.66366731 0.66307714 0.66335628 0.66238249 0.66353344 0.66285527 0.66302981 0.66371848 0.66109226 0.66283244 0.66335635 0.66249329 0.66295595 0.66299247 0.6644509  0.66183739 0.66351005 0.66266777]","[0.69469725 0.69517671 0.69439354 0.69532271 0.6946276  0.69451513 0.6949484  0.69475163 0.69477048 0.69446313 0.69457411 0.69441786 0.69451903 0.69464558 0.69463863 0.69481345 0.6950458  0.6948689 0.69453086 0.69496672]"
